,V,Monte carlo,Replicate price,Replicate %diff,JFE price,JFE %diff
0,0.1,36.0006,36.6167,1.7114,36.4457,1.2364
1,0.2,50.7456,51.5021,1.4907,51.3208,1.1334
2,0.30000000000000004,62.095,62.9573,1.3886,62.7745,1.0943
3,0.4,71.6717,72.6188,1.3215,72.4363,1.0668
4,0.5,80.11,81.1286,1.2715,80.9467,1.0445
5,0.6,87.7368,88.8177,1.232,88.6366,1.0256
6,0.7000000000000001,94.7477,95.8836,1.1988,95.7032,1.0085
7,0.8,101.2699,102.455,1.1702,102.2754,0.9929
8,0.9,107.3927,108.6217,1.1444,108.4427,0.9777
9,1.0,113.182,114.449,1.1194,114.2706,0.9618
10,1.1,118.6858,119.9864,1.0958,119.8085,0.946
