,S,FFT %delta,Replicate %delta,Delta %diff,FFT %gamma,Replicate %gamma,Gamma %diff,FFT %vega,Replicate %vega,Vega %diff
0,950,44.2794,44.2819,0.0057,0.2016,0.2016,0.0028,74.9945,74.9679,-0.0354
1,960,46.2918,46.294,0.0047,0.2008,0.2007,-0.0436,76.2501,76.2212,-0.0379
2,970,48.2928,48.2945,0.0036,0.1994,0.1993,-0.0405,77.3079,77.2847,-0.03
3,980,50.2776,50.2788,0.0023,0.1975,0.1975,-0.0244,78.1875,78.1563,-0.0399
4,990,52.2414,52.2421,0.0013,0.1952,0.1951,-0.0315,78.8766,78.8354,-0.0522
5,1000,54.18,54.1801,0.0003,0.1925,0.1924,-0.0471,79.35,79.3229,-0.0341
6,1010,56.0893,56.089,-0.0006,0.1893,0.1893,-0.002,79.6521,79.6212,-0.0388
7,1020,57.9657,57.9649,-0.0014,0.1859,0.1858,-0.0367,79.7443,79.7336,-0.0134
8,1030,59.8058,59.8046,-0.0021,0.1821,0.182,-0.028,79.6526,79.6651,0.0157
9,1040,61.6066,61.6049,-0.0027,0.178,0.178,-0.0104,79.4439,79.4213,-0.0285
10,1050,63.3654,63.3633,-0.0032,0.1737,0.1737,-0.0214,79.0269,79.009,-0.0227
